Year,Period,Unemployment Rate,1-Month Percent Change,3-Month Change,12-Month Change
1950,M01,6.5,-1.5,-17.7,51.2
1950,M02,6.4,-1.5,0,36.2
1950,M03,6.3,-1.6,-4.5,26
1950,M04,5.8,-7.9,-10.8,9.4
1950,M05,5.5,-5.2,-14.1,-9.8
1950,M06,5.4,-1.8,-14.3,-12.9
1950,M07,5,-7.4,-13.8,-25.4
1950,M08,4.5,-10,-18.2,-33.8
1950,M09,4.4,-2.2,-18.5,-33.3
1950,M10,4.2,-4.5,-16,-46.8
1950,M11,4.2,0,-6.7,-34.4
1950,M12,4.3,2.4,-2.3,-34.8
1951,M01,3.7,-14,-11.9,-43.1
1951,M02,3.4,-8.1,-19,-46.9
1951,M03,3.4,0,-20.9,-46
1951,M04,3.1,-8.8,-16.2,-46.6
1951,M05,3,-3.2,-11.8,-45.5
1951,M06,3.2,6.7,-5.9,-40.7
1951,M07,3.1,-3.1,0,-38
1951,M08,3.1,0,3.3,-31.1
1951,M09,3.3,6.5,3.1,-25
1951,M10,3.5,6.1,12.9,-16.7
1951,M11,3.5,0,12.9,-16.7
1951,M12,3.1,-11.4,-6.1,-27.9
1952,M01,3.2,3.2,-8.6,-13.5
1952,M02,3.1,-3.1,-11.4,-8.8
1952,M03,2.9,-6.5,-6.5,-14.7
1952,M04,2.9,0,-9.4,-6.5
1952,M05,3,3.4,-3.2,0
1952,M06,3,0,3.4,-6.3
1952,M07,3.2,6.7,10.3,3.2
1952,M08,3.4,6.3,13.3,9.7
1952,M09,3.1,-8.8,3.3,-6.1
1952,M10,3,-3.2,-6.3,-14.3
1952,M11,2.8,-6.7,-17.6,-20
1952,M12,2.7,-3.6,-12.9,-12.9
1953,M01,2.9,7.4,-3.3,-9.4
1953,M02,2.6,-10.3,-7.1,-16.1
1953,M03,2.6,0,-3.7,-10.3
1953,M04,2.7,3.8,-6.9,-6.9
1953,M05,2.5,-7.4,-3.8,-16.7
1953,M06,2.5,0,-3.8,-16.7
1953,M07,2.6,4,-3.7,-18.8
1953,M08,2.7,3.8,8,-20.6
1953,M09,2.9,7.4,16,-6.5
1953,M10,3.1,6.9,19.2,3.3
1953,M11,3.5,12.9,29.6,25
1953,M12,4.5,28.6,55.2,66.7
1954,M01,4.9,8.9,58.1,69
1954,M02,5.2,6.1,48.6,100
